src_id,dst_id,src_position,dst_position,address,value
2367109988351777,UTXO2671,0,-1,1HvVz2U42JqMbpx1KSo8sBfhUprzL4uJpr,5000000000
743104923036684,UTXO2731,0,-1,18HC2nYz8XHMRVh6DyyWfEkEMZYkrK91mj,5000000000
323532458438940,UTXO2942,0,-1,1HhUUUoUVm3jBPwk6m3PccYCcCFLR5qyR,5000000000
7408484684053929,UTXO2983,0,-1,13k3DycNY4dCJdWR6SuWAhSsWaofnxWv7u,5000000000
1068744583196806,UTXO3071,0,-1,1PTP92hCoFurPdQDsZmFFCP3Gsq5KnM25X,5000000000
coinbase3783,5228895363391868,4294967295,0,coinbase3783,5000000000
coinbase3918,2080192526174009,4294967295,0,coinbase3918,5000000000
4977228531597193,UTXO3286,0,-1,13BhALpKA3e8CrKYpW4Tj3B9KLSK79rMLd,5000000000
coinbase4038,1704507679470598,4294967295,0,coinbase4038,5000000000
coinbase4042,4440472613975829,4294967295,0,coinbase4042,5000000000
coinbase4105,689303862329745,4294967295,0,coinbase4105,5000000000
2181822849653904,3416744821174823,0,147,1DEAjgH7f4sdgSKmXtWKiRZn7QokBwCQYy,5000000000
coinbase4272,7066748697506155,4294967295,0,coinbase4272,5000000000
coinbase4292,8485217164679288,4294967295,0,coinbase4292,5000000000
2792186433958816,3416744821174823,0,17,1Gu76yLpukmAcEJNcbdBkbRPgw1xqxsGH3,5000000000
8511813754494586,UTXO3712,0,-1,1F5qTrHTyMujAsXeXYSGgQfBuHeFG5S1Gx,5000000000
coinbase4646,416337977337713,4294967295,0,coinbase4646,5000000000
coinbase4711,2344247252455475,4294967295,0,coinbase4711,5000000000
coinbase4720,918787484384108,4294967295,0,coinbase4720,5000000000
coinbase4998,5993453672702453,4294967295,0,coinbase4998,5000000000
1512094944936175,411391929751811,0,2,19P1ynmHA67Ss9kiVcG7z2oppnoQ7r9VQG,5000000000
2538182397530391,3526885168977930,0,51,14GNbudaoZRr3yEPrqMrfdNKv1gVcwp3Qj,5000000000
8073868559745001,UTXO4261,0,-1,1LBNt5kaH4aobYdu1DNSxf5Xrujdi67ESE,5000000000
6139905821136754,UTXO4380,0,-1,1FWX8SpNBgEdK3t3Agu58Bu4QsxAMf6GxX,5000000000
7376363256622695,UTXO4529,0,-1,1JzCQpPefxzMx75A7uKwpsYKT892SCe7Zd,5000000000
coinbase5758,2588425279441827,4294967295,0,coinbase5758,5000000000
coinbase5932,7789547123590289,4294967295,0,coinbase5932,5000000000
coinbase6145,55790780570530,4294967295,0,coinbase6145,5000000000
coinbase6174,1469633972785245,4294967295,0,coinbase6174,5000000000
8348783384236777,UTXO5022,0,-1,157cdsQtThxXEk21287KmimzEpobg17joS,5000000000
coinbase6273,2770433069154787,4294967295,0,coinbase6273,5000000000
coinbase6457,7598886967552835,4294967295,0,coinbase6457,5000000000
coinbase6497,2003757268343547,4294967295,0,coinbase6497,5000000000
coinbase6516,7489632242136915,4294967295,0,coinbase6516,5000000000
coinbase6670,3424202837172554,4294967295,0,coinbase6670,5000000000
411391929751811,2628706163345246,0,0,16NB2rGfdV8sq12oBC3bXTvvVzZiqvzo8Y,30000000000
6218463197039542,UTXO5685,0,-1,17YLjsznkBBsUuqVeKGaS1u6f7CfGN18XU,5000000000
coinbase7196,1329020771989038,4294967295,0,coinbase7196,5000000000
8992103884301711,UTXO5877,0,-1,1Q363DRukNSkiLvzr8uNauLJ4JesCHhHKb,5000000000
coinbase7269,93215988166005,4294967295,0,coinbase7269,5000000000
coinbase7478,2216993061661534,4294967295,0,coinbase7478,5000000000
coinbase7481,2684734792971466,4294967295,0,coinbase7481,5000000000
2401450250173246,UTXO6178,0,-1,1C92QEjtbkaYq4jLLa7UKfiQ91xSLj52U2,5000000000
coinbase7690,1632194024794575,4294967295,0,coinbase7690,5000000000
coinbase7707,5652138894562846,4294967295,0,coinbase7707,5000000000
coinbase7709,6992837394921806,4294967295,0,coinbase7709,5000000000
8550628810542217,UTXO6337,0,-1,1DbThK3vxSNLQj2o1LVpjG8gT8X5SYRCeb,5000000000
coinbase7880,8291256665349481,4294967295,0,coinbase7880,5000000000
2951626315688131,4980481157488986,0,0,1FZwCoA5Sf6ASZjVQhBZZni1baX817qqKR,5000000000
5238757590799473,UTXO6512,0,-1,1M7pkkk8BQHxYhdKUhBjokGDcJ4A2sefFk,5000000000
388431496835809,UTXO6944,0,-1,1Dhk7W18j9Swsej4H52Bc8cEFSYM7D9GaR,5000000000
coinbase8644,8976378569285358,4294967295,0,coinbase8644,5000000000
coinbase8664,5723705724725551,4294967295,0,coinbase8664,5000000000
6975775275873699,UTXO7078,0,-1,13RxmbS2sRG5xj3cWQux4ec2EUHhCB8gDt,5000000000
coinbase8817,7004701367324289,4294967295,0,coinbase8817,5000000000
coinbase9189,2078758600220383,4294967295,0,coinbase9189,5000000000
coinbase9249,4929264897538395,4294967295,0,coinbase9249,5000000000
coinbase9259,926470447912682,4294967295,0,coinbase9259,5000000000
8724528369913006,UTXO7492,0,-1,1EH39JQzFmu2L5t9Bf1kiTZyTLvc3M2onh,5000000000
